,name,mana_cost,cmc,oracle_text,power,toughness,prices,set,rarity
0,Storm Crow,{1}{U},2.0,Flying (This creature can't be blocked except by creatures with flying or reach.),1.0,2.0,0.20,9ed,0
1,Walking Sponge,{1}{U},2.0,{T}: Target creature loses your choice of flying  first strike  or trample until end of turn.,1.0,1.0,0.15,ulg,1
2,Pteramander,{U},1.0,Flying {7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it  put four +1/+1 counters on it.),1.0,1.0,0.15,rna,1
3,Nantuko Elder,{2}{G},3.0,{T}: Add {C}{G}.,1.0,2.0,0.56,ody,1
4,Vedalken Heretic,{G}{U},2.0,Whenever This Card deals damage to an opponent  you may draw a card.,1.0,1.0,0.26,arb,2
5,Ruthless Knave,{2}{B},3.0,"{2}{B}  Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}  Sacrifice this artifact: Add one mana of any color."") Sacrifice three Treasures: Draw a card.",3.0,2.0,0.29,xln,1
6,"Hua Tuo, Honored Physician",{1}{G}{G},3.0,{T}: Put target creature card from your graveyard on top of your library. Activate only during your turn  before attackers are declared.,1.0,2.0,0.48,c13,2
7,Disposal Mummy,{2}{W},3.0,When This Card enters the battlefield  exile target card from an opponent's graveyard.,2.0,3.0,0.03,hou,0
8,Marang River Prowler,{2}{U},3.0,This Card can't block and can't be blocked. You may cast This Card from your graveyard as long as you control a black or green permanent.,2.0,1.0,0.08,znc,1
9,Murk Dwellers,{3}{B},4.0,Whenever This Card attacks and isn't blocked  it gets +2/+0 until end of combat.,2.0,2.0,0.15,5ed,0
10,Whispering Shade,{3}{B},4.0,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {B}: This Card gets +1/+1 until end of turn.,1.0,1.0,0.09,ody,0
12,"Kalitas, Bloodchief of Ghet",{5}{B}{B},7.0,{B}{B}{B}  {T}: Destroy target creature. If that creature dies this way  create a black Vampire creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness.,5.0,5.0,9.59,zen,3
13,High-Rise Sawjack,{2}{G},3.0,Reach Whenever This Card blocks a creature with flying  This Card gets +2/+0 until end of turn.,2.0,3.0,0.01,snc,0
15,Keldon Raider,{2}{R}{R},4.0,When This Card enters the battlefield  you may discard a card. If you do  draw a card.,4.0,3.0,0.02,m20,0
16,Leopard-Spotted Jiao,{1}{R},2.0,_,3.0,1.0,0.10,gs1,0
17,"Toluz, Clever Conductor",{W/U}{U}{U/B},3.0,When This Card enters the battlefield  it connives. (Draw a card  then discard a card. If you discarded a nonland card  put a +1/+1 counter on this creature.) Whenever you discard one or more cards  exile them from your graveyard. When Toluz dies  put the cards exiled with it into their owner's hand.,3.0,1.0,0.16,snc,2
18,Stern Marshal,{2}{W},3.0,{T}: Target creature gets +2/+2 until end of turn. Activate only during your turn  before attackers are declared.,2.0,2.0,0.54,por,2
19,Trapjaw Tyrant,{3}{W}{W},5.0,Enrage — Whenever This Card is dealt damage  exile target creature an opponent controls until This Card leaves the battlefield.,5.0,5.0,6.35,rix,3
