,name,mana_cost,cmc,oracle_text,power,toughness,prices,set
0,Storm Crow,{1}{U},2.0,Flying (This creature can't be blocked except by creatures with flying or reach.),1,2,0.20,9ed
1,Walking Sponge,{1}{U},2.0,{T}: Target creature loses your choice of flying  first strike  or trample until end of turn.,1,1,0.16,ulg
2,Pteramander,{U},1.0,Flying {7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it  put four +1/+1 counters on it.),1,1,0.13,rna
3,Nantuko Elder,{2}{G},3.0,{T}: Add {C}{G}.,1,2,0.56,ody
4,Vedalken Heretic,{G}{U},2.0,Whenever This Card deals damage to an opponent  you may draw a card.,1,1,0.25,arb
5,Ruthless Knave,{2}{B},3.0,"{2}{B}  Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}  Sacrifice this artifact: Add one mana of any color."") Sacrifice three Treasures: Draw a card.",3,2,0.24,xln
6,"Hua Tuo, Honored Physician",{1}{G}{G},3.0,{T}: Put target creature card from your graveyard on top of your library. Activate only during your turn  before attackers are declared.,1,2,0.46,c13
7,Disposal Mummy,{2}{W},3.0,When This Card enters the battlefield  exile target card from an opponent's graveyard.,2,3,0.03,hou
8,Marang River Prowler,{2}{U},3.0,This Card can't block and can't be blocked. You may cast This Card from your graveyard as long as you control a black or green permanent.,2,1,0.08,znc
9,Murk Dwellers,{3}{B},4.0,Whenever This Card attacks and isn't blocked  it gets +2/+0 until end of combat.,2,2,0.15,5ed
10,Whispering Shade,{3}{B},4.0,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {B}: This Card gets +1/+1 until end of turn.,1,1,0.09,ody
11,Wall of Fortune,{1}{U},2.0,Defender You may tap an untapped Wall you control to have any player reroll a die that player rolled.,0,4,0.07,und
12,"Kalitas, Bloodchief of Ghet",{5}{B}{B},7.0,{B}{B}{B}  {T}: Destroy target creature. If that creature dies this way  create a black Vampire creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness.,5,5,9.89,zen
13,High-Rise Sawjack,{2}{G},3.0,Reach Whenever This Card blocks a creature with flying  This Card gets +2/+0 until end of turn.,2,3,0.01,snc
