,name,mana_cost,cmc,oracle_text,power,toughness,prices,set,rarity
0,Storm Crow,{1}{U},2.0,Flying (This creature can't be blocked except by creatures with flying or reach.),1.0,2.0,0.2,9ed,0
1,Walking Sponge,{1}{U},2.0,{T}: Target creature loses your choice of flying  first strike  or trample until end of turn.,1.0,1.0,0.15,ulg,1
2,Pteramander,{U},1.0,Flying {7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it  put four +1/+1 counters on it.),1.0,1.0,0.15,rna,1
3,Nantuko Elder,{2}{G},3.0,{T}: Add {C}{G}.,1.0,2.0,0.56,ody,1
4,Vedalken Heretic,{G}{U},2.0,Whenever This Card deals damage to an opponent  you may draw a card.,1.0,1.0,0.26,arb,2
5,Ruthless Knave,{2}{B},3.0,"{2}{B}  Sacrifice a creature: Create two Treasure tokens. (They're artifacts with ""{T}  Sacrifice this artifact: Add one mana of any color."") Sacrifice three Treasures: Draw a card.",3.0,2.0,0.29,xln,1
6,"Hua Tuo, Honored Physician",{1}{G}{G},3.0,{T}: Put target creature card from your graveyard on top of your library. Activate only during your turn  before attackers are declared.,1.0,2.0,0.48,c13,2
7,Disposal Mummy,{2}{W},3.0,When This Card enters the battlefield  exile target card from an opponent's graveyard.,2.0,3.0,0.03,hou,0
8,Marang River Prowler,{2}{U},3.0,This Card can't block and can't be blocked. You may cast This Card from your graveyard as long as you control a black or green permanent.,2.0,1.0,0.08,znc,1
9,Murk Dwellers,{3}{B},4.0,Whenever This Card attacks and isn't blocked  it gets +2/+0 until end of combat.,2.0,2.0,0.15,5ed,0
10,Whispering Shade,{3}{B},4.0,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) {B}: This Card gets +1/+1 until end of turn.,1.0,1.0,0.09,ody,0
11,"Kalitas, Bloodchief of Ghet",{5}{B}{B},7.0,{B}{B}{B}  {T}: Destroy target creature. If that creature dies this way  create a black Vampire creature token. Its power is equal to that creature's power and its toughness is equal to that creature's toughness.,5.0,5.0,9.59,zen,3
12,High-Rise Sawjack,{2}{G},3.0,Reach Whenever This Card blocks a creature with flying  This Card gets +2/+0 until end of turn.,2.0,3.0,0.01,snc,0
13,Keldon Raider,{2}{R}{R},4.0,When This Card enters the battlefield  you may discard a card. If you do  draw a card.,4.0,3.0,0.02,m20,0
14,Leopard-Spotted Jiao,{1}{R},2.0,_,3.0,1.0,0.1,gs1,0
15,"Toluz, Clever Conductor",{W/U}{U}{U/B},3.0,When This Card enters the battlefield  it connives. (Draw a card  then discard a card. If you discarded a nonland card  put a +1/+1 counter on this creature.) Whenever you discard one or more cards  exile them from your graveyard. When Toluz dies  put the cards exiled with it into their owner's hand.,3.0,1.0,0.16,snc,2
16,Stern Marshal,{2}{W},3.0,{T}: Target creature gets +2/+2 until end of turn. Activate only during your turn  before attackers are declared.,2.0,2.0,0.54,por,2
17,Trapjaw Tyrant,{3}{W}{W},5.0,Enrage — Whenever This Card is dealt damage  exile target creature an opponent controls until This Card leaves the battlefield.,5.0,5.0,6.35,rix,3
18,Warden of the First Tree,{G},1.0,{1}{W/B}: This Card becomes a Human Warrior with base power and toughness 3/3. {2}{W/B}{W/B}: If This Card is a Warrior  it becomes a Human Spirit Warrior with trample and lifelink. {3}{W/B}{W/B}{W/B}: If This Card is a Spirit  put five +1/+1 counters on it.,1.0,1.0,0.32,frf,3
19,Carnage Wurm,{6}{G},7.0,Bloodthirst 3 (If an opponent was dealt damage this turn  this creature enters the battlefield with three +1/+1 counters on it.) Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),6.0,6.0,0.13,m12,1
20,Pharika's Mender,{3}{B}{G},5.0,When This Card enters the battlefield  you may return target creature or enchantment card from your graveyard to your hand.,4.0,3.0,0.08,cn2,1
21,Thopter Assembly,{6},6.0,Flying At the beginning of your upkeep  if you control no Thopters other than This Card  return This Card to its owner's hand and create five 1/1 colorless Thopter artifact creature tokens with flying.,5.0,5.0,0.45,c18,2
22,Dakmor Scorpion,{1}{B},2.0,_,2.0,1.0,0.13,s99,0
23,Brawn,{3}{G},4.0,Trample As long as This Card is in your graveyard and you control a Forest  creatures you control have trample.,3.0,3.0,0.43,uma,1
24,Steadfast Cathar,{1}{W},2.0,Whenever This Card attacks  it gets +0/+2 until end of turn.,2.0,1.0,0.04,emn,0
25,"Harald, King of Skemfar",{1}{B}{G},3.0,Menace (This creature can't be blocked except by two or more creatures.) When This Card enters the battlefield  look at the top five cards of your library. You may reveal an Elf  Warrior  or Tyvar card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,3.0,2.0,0.06,khm,1
26,Magma Sliver,{3}{R},4.0,"All Slivers have ""{T}: Target Sliver creature gets +X/+0 until end of turn  where X is the number of Slivers on the battlefield.""",3.0,3.0,17.51,lgn,2
27,Vizier of Deferment,{2}{W},3.0,Flash When This Card enters the battlefield  you may exile target creature if it attacked or blocked this turn. Return that card to the battlefield under its owner's control at the beginning of the next end step.,2.0,2.0,0.07,akh,1
