,name,mana_cost,cmc,oracle_text,prices,set,rarity
0,Wasteful Harvest,{2}{G},3.0,Mill five cards. You may put a permanent card from among the cards milled this way into your hand. (To mill a card  put the top card of your library into your graveyard.),0.10,bro,0
1,Calamity's Wake,{1}{W},2.0,Exile all graveyards. Players can't cast noncreature spells this turn. Exile This Card.,0.34,bro,1
2,Over the Top,{5}{R}{R},7.0,Each player reveals a number of cards from the top of their library equal to the number of nonland permanents they control  puts all permanent cards they revealed this way onto the battlefield  and puts the rest into their graveyard.,0.17,bro,2
3,The Mightstone and Weakstone,{5},5.0,When This Card enters the battlefield  choose one — • Draw two cards. • Target creature gets -5/-5 until end of turn. {T}: Add {C}{C}. This mana can't be spent to cast nonartifact spells. (Melds with Urza  Lord Protector.),4.67,bro,2
4,Repair and Recharge,{3}{W}{W},5.0,"Return target artifact  enchantment  or planeswalker card from your graveyard to the battlefield. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.11,bro,1
5,Forging the Anchor,{2}{U},3.0,Look at the top five cards of your library. You may reveal any number of artifact cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in a random order.,0.13,bro,1
6,Kayla's Command,{1}{W}{W},3.0,Choose two — • Create a 2/2 colorless Construct artifact creature token. • Put a +1/+1 counter on a creature you control. It gains double strike until end of turn. • Search your library for a basic Plains card  reveal it  put it into your hand  then shuffle. • You gain 2 life and scry 2.,0.20,bro,2
7,Blast Zone,_,0.0,This Card enters the battlefield with a charge counter on it. {T}: Add {C}. {X}{X}  {T}: Put X charge counters on This Card. {3}  {T}  Sacrifice This Card: Destroy each nonland permanent with mana value equal to the number of charge counters on This Card.,0.80,bro,2
8,Goblin Firebomb,{1},1.0,Flash {7}  {T}  Sacrifice This Card: Destroy target permanent.,0.04,bro,0
9,Fateful Handoff,{3}{B},4.0,Draw cards equal to the mana value of target artifact or creature you control. An opponent gains control of that permanent.,0.12,bro,2
10,Moment of Defiance,{2}{B},3.0,Target creature gets +2/+1 and gains lifelink until end of turn. Draw a card.,0.07,bro,0
11,Corrupt,{5}{B},6.0,This Card deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.,2.97,bro,1
12,Llanowar Wastes,_,0.0,{T}: Add {C}. {T}: Add {B} or {G}. This Card deals 1 damage to you.,0.55,bro,2
13,Urza's Command,{2}{U}{U},4.0,"Choose two — • Creatures you don't control get -2/-0 until end of turn. • Create a tapped Powerstone token. • Create a tapped 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."" • Scry 1  then draw a card.",0.42,bro,2
14,Thran Power Suit,{2},2.0,Equipped creature gets +1/+1 for each Aura and Equipment attached to it and has ward {2}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls  counter it unless that player pays {2}.) Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.14,bro,1
15,Brushland,_,0.0,{T}: Add {C}. {T}: Add {G} or {W}. This Card deals 1 damage to you.,0.97,bro,2
16,Forest,_,0.0,({T}: Add {G}.),0.26,bro,0
17,The Temporal Anchor,{3}{U}{U}{U},6.0,At the beginning of your upkeep  scry 2. Whenever you choose to put one or more cards on the bottom of your library while scrying  exile that many cards from the bottom of your library. During your turn  you may play cards exiled with This Card.,0.19,bro,2
18,Unleash Shell,{3}{R}{R},5.0,This Card deals 5 damage to target creature or planeswalker and 2 damage to that permanent's controller.,0.04,bro,0
19,Scatter Ray,{1}{U},2.0,Counter target artifact or creature spell unless its controller pays {4}.,0.05,bro,0
20,Swamp,_,0.0,({T}: Add {B}.),0.13,bro,0
21,Awaken the Woods,{X}{G}{G},2.0,Create X 1/1 green Forest Dryad land creature tokens. (They're affected by summoning sickness.),21.12,bro,3
22,Shoot Down,{3}{G},4.0,Exile target artifact  enchantment  or creature with flying.,0.12,bro,0
23,Overwhelming Remorse,{4}{B},5.0,This spell costs {1} less to cast for each creature card in your graveyard. Exile target creature or planeswalker.,0.14,bro,0
24,Gruesome Realization,{1}{B}{B},3.0,Choose one — • You draw two cards and you lose 2 life. • Creatures your opponents control get -1/-1 until end of turn.,0.05,bro,1
25,Plains,_,0.0,({T}: Add {W}.),0.08,bro,0
26,Powerstone Fracture,{1}{B},2.0,As an additional cost to cast this spell  sacrifice an artifact or creature. Destroy target creature or planeswalker.,0.08,bro,0
27,Evolving Wilds,_,0.0,{T}  Sacrifice This Card: Search your library for a basic land card  put it onto the battlefield tapped  then shuffle.,0.06,bro,0
28,"Teferi, Temporal Pilgrim",{3}{U}{U},5.0,"Whenever you draw a card  put a loyalty counter on This Card. 0: Draw a card. −2: Create a 2/2 blue Spirit creature token with vigilance and ""Whenever you draw a card  put a +1/+1 counter on this creature."" −12: Target opponent chooses a permanent they control and returns it to its owner's hand. Then they shuffle each nonland permanent they control into its owner's library.",11.28,bro,3
29,Tocasia's Dig Site,_,0.0,{T}: Add {C}. {3}  {T}: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.),0.11,bro,0
30,Gix's Command,{3}{B}{B},5.0,Choose two — • Put two +1/+1 counters on up to one creature. It gains lifelink until end of turn. • Destroy each creature with power 2 or less. • Return up to two creature cards from your graveyard to your hand. • Each opponent sacrifices a creature with the highest power among creatures they control.,0.36,bro,2
31,In the Trenches,{1}{W}{W},3.0,Creatures you control get +1/+1. {5}{W}: Exile target nonland permanent you don't control until This Card leaves the battlefield. Activate only as a sorcery and only once.,1.36,bro,3
32,Swamp,_,0.0,({T}: Add {B}.),0.06,bro,0
33,Dreams of Steel and Oil,{B},1.0,Target opponent reveals their hand. You choose an artifact or creature card from it  then choose an artifact or creature card from their graveyard. Exile the chosen cards.,0.15,bro,1
34,Soul Partition,{1}{W},2.0,Exile target nonland permanent. For as long as that card remains exiled  its owner may play it. A spell cast by an opponent this way costs {2} more to cast.,0.68,bro,2
35,Recommission,{1}{W},2.0,Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield. If a creature enters the battlefield this way  it enters with an additional +1/+1 counter on it.,0.11,bro,0
36,Kayla's Reconstruction,{X}{W}{W}{W},3.0,Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.,0.39,bro,2
37,Kayla's Reconstruction,{X}{W}{W}{W},3.0,Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.,0.48,bro,2
38,Urza's Sylex,{3},3.0,{2}{W}{W}  {T}  Exile This Card: Each player chooses six lands they control. Destroy all other permanents. Activate only as a sorcery. When This Card is put into exile from the battlefield  you may pay {2}. If you do  search your library for a planeswalker card  reveal it  put it into your hand  then shuffle.,2.00,bro,3
39,Stern Lesson,{2}{U},3.0,"Draw two cards  then discard a card. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.06,bro,0
40,Legions to Ashes,{1}{W}{B},3.0,Exile target nonland permanent an opponent controls and all tokens that player controls with the same name as that permanent.,0.72,bro,2
41,Bitter Reunion,{1}{R},2.0,When This Card enters the battlefield  you may discard a card. If you do  draw two cards. {1}  Sacrifice This Card: Creatures you control gain haste until end of turn.,0.17,bro,0
42,The Stone Brain,{2},2.0,{2}  {T}  Exile This Card: Choose a card name. Search target opponent's graveyard  hand  and library for up to four cards with that name and exile them. That player shuffles  then draws a card for each card exiled from their hand this way. Activate only as a sorcery.,1.12,bro,2
43,Epic Confrontation,{1}{G},2.0,Target creature you control gets +1/+2 until end of turn. It fights target creature you don't control. (Each deals damage equal to its power to the other.),0.04,bro,0
44,Fog of War,{2}{G},3.0,You gain 1 life for each creature on the battlefield. Prevent all combat damage that would be dealt this turn by creatures with power 3 or less.,0.07,bro,0
45,Loran's Escape,{W},1.0,Target artifact or creature gains hexproof and indestructible until end of turn. Scry 1.,0.16,bro,0
46,Deadly Riposte,{1}{W},2.0,This Card deals 3 damage to target tapped creature and you gain 2 life.,0.08,bro,0
47,Plains,_,0.0,({T}: Add {W}.),0.04,bro,0
48,Thran Vigil,{1}{B},2.0,Whenever one or more artifact and/or creature cards leave your graveyard during your turn  put a +1/+1 counter on target creature you control.,0.11,bro,1
49,Audacity,{G},1.0,Enchant creature Enchanted creature gets +2/+0 and has trample. When This Card is put into a graveyard from the battlefield  draw a card.,0.10,bro,1
50,The Stasis Coffin,{3},3.0,{2}  {T}  Exile This Card: You gain protection from everything until your next turn.,0.24,bro,2
51,Take Flight,{3}{U},4.0,"Enchant creature Enchanted creature gets +1/+0 and has flying and ""Whenever this creature attacks  draw a card.""",0.06,bro,1
52,Desynchronize,{4}{U},5.0,Target nonland permanent's owner puts it on the top or bottom of their library. Scry 2.,0.09,bro,0
53,Union of the Third Path,{2}{W},3.0,Draw a card  then you gain life equal to the number of cards in your hand.,0.07,bro,0
54,No One Left Behind,{4}{B},5.0,This spell costs {3} less to cast if it targets a creature card with mana value 3 or less. Return target creature card from your graveyard to the battlefield.,0.07,bro,1
55,Underground River,_,0.0,{T}: Add {C}. {T}: Add {U} or {B}. This Card deals 1 damage to you.,2.99,bro,2
56,"Saheeli, Filigree Master",{2}{U}{R},4.0,"+1: Scry 1. You may tap an untapped artifact you control. If you do  draw a card. −2: Create two 1/1 colorless Thopter artifact creature tokens with flying. They gain haste until end of turn. −4: You get an emblem with ""Artifact creatures you control get +1/+1"" and ""Artifact spells you cast cost {1} less to cast.""",4.52,bro,3
57,Fortified Beachhead,_,0.0,As This Card enters the battlefield  you may reveal a Soldier card from your hand. This Card enters the battlefield tapped unless you revealed a Soldier card this way or you control a Soldier. {T}: Add {W} or {U}. {5}  {T}: Soldiers you control get +1/+1 until end of turn.,0.88,bro,2
58,Brotherhood's End,{1}{R}{R},3.0,Choose one — • This Card deals 3 damage to each creature and each planeswalker. • Destroy all artifacts with mana value 3 or less.,8.32,bro,2
59,Gaea's Gift,{1}{G},2.0,"Put a +1/+1 counter on target creature you control. It gains reach  trample  hexproof  and indestructible until end of turn. (It can't be the target of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy it.)",0.14,bro,0
60,Hurkyl's Final Meditation,{4}{U}{U}{U},7.0,"As long as it's not your turn  this spell costs {3} more to cast. Return all nonland permanents to their owner's hands. End the turn. (Exile all spells and abilities from the stack  including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off  and ""this turn"" and ""until end of turn"" effects end.)",0.14,bro,2
61,Lay Down Arms,{W},1.0,Exile target creature with mana value less than or equal to the number of Plains you control. Its controller gains 3 life.,0.29,bro,1
62,Splitting the Powerstone,{2}{U},3.0,"As an additional cost to cast this spell  sacrifice an artifact. Create two tapped Powerstone tokens. If the sacrificed artifact was legendary  draw a card. (The tokens are artifacts with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.09,bro,1
63,Tocasia's Welcome,{2}{W},3.0,Whenever one or more creatures with mana value 3 or less enter the battlefield under your control  draw a card. This ability triggers only once each turn.,1.43,bro,2
64,Diabolic Intent,{1}{B},2.0,As an additional cost to cast this spell  sacrifice a creature. Search your library for a card  put that card into your hand  then shuffle.,10.31,bro,2
65,Mechanized Warfare,{1}{R}{R},3.0,If a red or artifact source you control would deal damage to an opponent or a permanent an opponent controls  it deals that much damage plus 1 instead.,0.66,bro,2
66,Static Net,{3}{W},4.0,"When This Card enters the battlefield  exile target nonland permanent an opponent controls until This Card leaves the battlefield. When This Card enters the battlefield  you gain 2 life and create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.08,bro,1
67,Mask of the Jadecrafter,{2},2.0,{X}  {T}  Sacrifice This Card: Create an X/X colorless Golem artifact creature token. Activate only as a sorcery. Unearth {2}{G} ({2}{G}: Return this card from your graveyard to the battlefield. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.),0.06,bro,1
68,Flow of Knowledge,{4}{U},5.0,Draw a card for each Island you control  then discard two cards.,0.09,bro,1
69,Portal to Phyrexia,{9},9.0,When This Card enters the battlefield  each opponent sacrifices three creatures. At the beginning of your upkeep  put target creature card from a graveyard onto the battlefield under your control. It's a Phyrexian in addition to its other types.,23.90,bro,3
70,The Temporal Anchor,{3}{U}{U}{U},6.0,At the beginning of your upkeep  scry 2. Whenever you choose to put one or more cards on the bottom of your library while scrying  exile that many cards from the bottom of your library. During your turn  you may play cards exiled with This Card.,0.27,bro,2
71,Mass Production,{5}{W},6.0,Create four 1/1 colorless Soldier artifact creature tokens.,0.05,bro,1
72,Battlefield Forge,_,0.0,{T}: Add {C}. {T}: Add {R} or {W}. This Card deals 1 damage to you.,0.52,bro,2
73,Veteran's Powerblade,{3},3.0,Equipped creature gets +2/+0. Equip Soldier {W} Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),0.02,bro,0
74,Disenchant,{1}{W},2.0,Destroy target artifact or enchantment.,0.07,bro,0
75,Flow of Knowledge,{4}{U},5.0,Draw a card for each Island you control  then discard two cards.,2.93,bro,1
76,Bushwhack,{G},1.0,Choose one — • Search your library for a basic land card  reveal it  put it into your hand  then shuffle. • Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.),0.11,bro,1
77,Fade from History,{2}{G}{G},4.0,Each player who controls an artifact or enchantment creates a 2/2 green Bear creature token. Then destroy all artifacts and enchantments.,0.42,bro,2
78,In the Trenches,{1}{W}{W},3.0,Creatures you control get +1/+1. {5}{W}: Exile target nonland permanent you don't control until This Card leaves the battlefield. Activate only as a sorcery and only once.,1.02,bro,3
79,Swamp,_,0.0,({T}: Add {B}.),0.27,bro,0
80,Lay Down Arms,{W},1.0,Exile target creature with mana value less than or equal to the number of Plains you control. Its controller gains 3 life.,4.78,bro,1
81,Titania's Command,{4}{G}{G},6.0,Choose two — • Exile target player's graveyard. You gain 1 life for each card exiled this way. • Search your library for up to two land cards  put them onto the battlefield tapped  then shuffle. • Create two 2/2 green Bear creature tokens. • Put two +1/+1 counters on each creature you control.,0.56,bro,2
82,Prison Sentence,{2}{W},3.0,Enchant creature When This Card enters the battlefield  scry 2. Enchanted creature can't attack or block  and its activated abilities can't be activated.,0.06,bro,0
83,One with the Multiverse,{6}{U}{U},8.0,You may look at the top card of your library any time. You may play lands and cast spells from the top of your library. Once during each of your turns  you may cast a spell from your hand or the top of your library without paying its mana cost.,3.17,bro,3
84,Symmetry Matrix,{4},4.0,Whenever a creature with power equal to its toughness enters the battlefield under your control  you may pay {1}. If you do  draw a card.,0.19,bro,1
85,Battlefield Forge,_,0.0,{T}: Add {C}. {T}: Add {R} or {W}. This Card deals 1 damage to you.,1.39,bro,2
86,Defabricate,{1}{U},2.0,Choose one — • Counter target artifact or enchantment spell. If a spell is countered this way  exile it instead of putting it into its owner's graveyard. • Counter target activated or triggered ability.,0.20,bro,1
87,Plains,_,0.0,({T}: Add {W}.),0.38,bro,0
88,Obliterating Bolt,{1}{R},2.0,This Card deals 4 damage to target creature or planeswalker. If that creature or planeswalker would die this turn  exile it instead.,0.20,bro,1
89,Plains,_,0.0,({T}: Add {W}.),0.34,bro,0
90,Mishra's Command,{X}{R},1.0,Choose two — • Choose target player. They may discard up to X cards. Then they draw a card for each card discarded this way. • This spell deals X damage to target creature. • This spell deals X damage to target planeswalker. • Target creature gets +X/+0 and gains haste until end of turn.,0.32,bro,2
91,Supply Drop,{3},3.0,Flash When This Card enters the battlefield  target creature you control gets +2/+2 until end of turn. {4}  {T}  Sacrifice This Card: Draw a card.,0.08,bro,0
92,Raze to the Ground,{2}{R},3.0,This spell can't be countered. Destroy target artifact. If its mana value was 1 or less  draw a card.,0.07,bro,0
93,Brotherhood's End,{1}{R}{R},3.0,Choose one — • This Card deals 3 damage to each creature and each planeswalker. • Destroy all artifacts with mana value 3 or less.,8.81,bro,2
94,Titania's Command,{4}{G}{G},6.0,Choose two — • Exile target player's graveyard. You gain 1 life for each card exiled this way. • Search your library for up to two land cards  put them onto the battlefield tapped  then shuffle. • Create two 2/2 green Bear creature tokens. • Put two +1/+1 counters on each creature you control.,0.92,bro,2
95,Soul Partition,{1}{W},2.0,Exile target nonland permanent. For as long as that card remains exiled  its owner may play it. A spell cast by an opponent this way costs {2} more to cast.,1.01,bro,2
96,Mishra's Domination,{1}{R},2.0,Enchant creature As long as you control enchanted creature  it gets +2/+2. Otherwise  it can't block.,0.10,bro,0
97,Urza's Rebuff,{1}{U}{U},3.0,Choose one — • Counter target spell. • Tap up to two target creatures.,0.08,bro,0
98,Forest,_,0.0,({T}: Add {G}.),0.06,bro,0
99,Mightstone's Animation,{3}{U},4.0,Enchant artifact When This Card enters the battlefield  draw a card. Enchanted artifact is a creature with base power and toughness 4/4 in addition to its other types.,0.03,bro,0
100,The Stone Brain,{2},2.0,{2}  {T}  Exile This Card: Choose a card name. Search target opponent's graveyard  hand  and library for up to four cards with that name and exile them. That player shuffles  then draws a card for each card exiled from their hand this way. Activate only as a sorcery.,1.91,bro,2
101,Fade from History,{2}{G}{G},4.0,Each player who controls an artifact or enchantment creates a 2/2 green Bear creature token. Then destroy all artifacts and enchantments.,0.70,bro,2
102,Go for the Throat,{1}{B},2.0,Destroy target nonartifact creature.,0.13,bro,1
103,Military Discipline,{W},1.0,Flash Enchant creature When This Card enters the battlefield  enchanted creature gains first strike until end of turn. Enchanted creature gets +1/+0.,0.06,bro,0
104,Legions to Ashes,{1}{W}{B},3.0,Exile target nonland permanent an opponent controls and all tokens that player controls with the same name as that permanent.,0.25,bro,2
105,Mountain,_,0.0,({T}: Add {R}.),0.06,bro,0
106,Hostile Negotiations,{3}{B},4.0,Exile the top three cards of your library in a face-down pile  then exile the next top three cards of your library in another face-down pile. Look at the cards in each pile  then turn a pile of your choice face up. An opponent chooses one of those piles. Put all cards in the chosen pile into your hand and the rest into your graveyard. You lose 3 life.,1.68,bro,2
107,Gix's Command,{3}{B}{B},5.0,Choose two — • Put two +1/+1 counters on up to one creature. It gains lifelink until end of turn. • Destroy each creature with power 2 or less. • Return up to two creature cards from your graveyard to your hand. • Each opponent sacrifices a creature with the highest power among creatures they control.,0.27,bro,2
108,Blanchwood Armor,{2}{G},3.0,Enchant creature Enchanted creature gets +1/+1 for each Forest you control.,6.59,bro,1
109,Brushland,_,0.0,{T}: Add {C}. {T}: Add {G} or {W}. This Card deals 1 damage to you.,1.94,bro,2
110,Levitating Statue,{2},2.0,Flying Whenever you cast a noncreature spell  put a +1/+1 counter on This Card. {2}: This Card becomes a 1/1 Construct artifact creature until end of turn.,0.10,bro,1
111,One with the Multiverse,{6}{U}{U},8.0,You may look at the top card of your library any time. You may play lands and cast spells from the top of your library. Once during each of your turns  you may cast a spell from your hand or the top of your library without paying its mana cost.,5.23,bro,3
112,Fateful Handoff,{3}{B},4.0,Draw cards equal to the mana value of target artifact or creature you control. An opponent gains control of that permanent.,0.18,bro,2
113,Excavation Explosion,{2}{R},3.0,"This Card deals 3 damage to any target. Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",0.05,bro,0
114,"Saheeli, Filigree Master",{2}{U}{R},4.0,"+1: Scry 1. You may tap an untapped artifact you control. If you do  draw a card. −2: Create two 1/1 colorless Thopter artifact creature tokens with flying. They gain haste until end of turn. −4: You get an emblem with ""Artifact creatures you control get +1/+1"" and ""Artifact spells you cast cost {1} less to cast.""",2.84,bro,3
115,The Stasis Coffin,{3},3.0,{2}  {T}  Exile This Card: You gain protection from everything until your next turn.,0.50,bro,2
116,Pyrrhic Blast,{3}{R},4.0,As an additional cost to cast this spell  sacrifice a creature. This Card deals damage equal to the sacrificed creature's power to any target. Draw a card.,0.07,bro,1
117,Forest,_,0.0,({T}: Add {G}.),0.10,bro,0
