,name,mana_cost,cmc,oracle_text,prices,set
0,Static Orb,{3},3.0,As long as This Card is untapped  players can't untap more than two permanents during their untap steps.,21.14,7ed
1,Sensory Deprivation,{U},1.0,Enchant creature Enchanted creature gets -3/-0.,0.04,m14
2,Road of Return,{G}{G},2.0,Choose one — • Return target permanent card from your graveyard to your hand. • Put your commander into your hand from the command zone. Entwine {2} (Choose both if you pay the entwine cost.),0.25,c19
3,Ravnica at War,{3}{W},4.0,Exile all multicolored permanents.,0.20,war
4,Torrent of Fire,{3}{R}{R},5.0,This Card deals damage to any target equal to the highest mana value among permanents you control.,0.12,scg
5,Waterknot,{1}{U}{U},3.0,Enchant creature When This Card enters the battlefield  tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.,0.04,jmp
6,Veil of Summer,{G},1.0,Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.),5.72,m20
7,Aura Graft,{1}{U},2.0,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,0.17,10e
8,Saheeli's Artistry,{4}{U}{U},6.0,Choose one or both — • Create a token that's a copy of target artifact. • Create a token that's a copy of target creature  except it's an artifact in addition to its other types.,0.22,c18
9,Safewright Quest,{G/W},1.0,Search your library for a Forest or Plains card  reveal it  put it into your hand  then shuffle.,0.21,shm
10,Instill Infection,{3}{B},4.0,Put a -1/-1 counter on target creature. Draw a card.,0.03,mm2
11,Strength of Night,{2}{G},3.0,Kicker {B} (You may pay an additional {B} as you cast this spell.) Creatures you control get +1/+1 until end of turn. If this spell was kicked  Zombie creatures you control get an additional +2/+2 until end of turn.,0.13,apc
12,Behemoth Sledge,{1}{G}{W},3.0,Equipped creature gets +2/+2 and has trample and lifelink. Equip {3},0.12,afc
13,Kindred Discovery,{3}{U}{U},5.0,As This Card enters the battlefield  choose a creature type. Whenever a creature you control of the chosen type enters the battlefield or attacks  draw a card.,4.87,clb
14,Strength of Unity,{3}{W},4.0,Enchant creature Domain — Enchanted creature gets +1/+1 for each basic land type among lands you control.,0.11,inv
15,Savai Triome,_,0.0,({T}: Add {R}  {W}  or {B}.) This Card enters the battlefield tapped. Cycling {3} ({3}  Discard this card: Draw a card.),12.05,iko
16,Thunderherd Migration,{1}{G},2.0,As an additional cost to cast this spell  reveal a Dinosaur card from your hand or pay {1}. Search your library for a basic land card  put it onto the battlefield tapped  then shuffle.,0.26,gn2
17,One with the Kami,{3}{G},4.0,Flash Enchant creature you control Whenever enchanted creature or another modified creature you control dies  create X 1/1 colorless Spirit creature tokens  where X is that creature's power. (Equipment  Auras you control  and counters are modifications.),0.23,nec
18,Goblin Barrage,{3}{R},4.0,Kicker—Sacrifice an artifact or Goblin. (You may sacrifice an artifact or Goblin in addition to any other costs as you cast this spell.) This Card deals 4 damage to target creature. If this spell was kicked  it also deals 4 damage to target player or planeswalker.,0.09,dom
19,Dungeon Delver,{1}{U},2.0,"Commander creatures you own have ""Room abilities of dungeons you own trigger an additional time.""",0.06,clb
20,Mind Extraction,{2}{B},3.0,As an additional cost to cast this spell  sacrifice a creature. Target player reveals their hand and discards all cards of each of the sacrificed creature's colors.,0.14,apc
21,Deem Worthy,{4}{R},5.0,This Card deals 7 damage to target creature. Cycling {3}{R} ({3}{R}  Discard this card: Draw a card.) When you cycle This Card  you may have it deal 2 damage to target creature.,0.07,akh
22,Coalition Relic,{3},3.0,{T}: Add one mana of any color. {T}: Put a charge counter on This Card. At the beginning of your precombat main phase  remove all charge counters from This Card. Add one mana of any color for each charge counter removed this way.,0.46,dmc
23,"Shizo, Death's Storehouse",_,0.0,{T}: Add {B}. {B}  {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.),8.55,dmc
24,Summon the School,{3}{W},4.0,Create two 1/1 blue Merfolk Wizard creature tokens. Tap four untapped Merfolk you control: Return This Card from your graveyard to your hand.,0.18,lrw
25,Mindlink Mech,{2}{U},3.0,Flying Whenever This Card becomes crewed for the first time each turn  until end of turn  This Card becomes a copy of target nonlegendary creature that crewed it this turn  except it's 4/3  it's a Vehicle artifact in addition to its other types  and it has flying. Crew 1,0.15,neo
26,Hunt the Hunter,{G},1.0,Target green creature you control gets +2/+2 until end of turn. It fights target green creature an opponent controls.,0.12,ths
27,Timber Gorge,_,0.0,This Card enters the battlefield tapped. {T}: Add {R} or {G}.,0.11,m19
28,Blur,{2}{U},3.0,Exile target creature you control  then return that card to the battlefield under its owner's control. Draw a card.,0.11,clb
29,Demonic Vigor,{B},1.0,Enchant creature Enchanted creature gets +1/+1. When enchanted creature dies  return that card to its owner's hand.,0.09,dom
30,Courier's Briefcase,{1}{G},2.0,When This Card enters the battlefield  create a 1/1 green and white Citizen creature token. {T}  Sacrifice This Card: Add one mana of any color. {W}{U}{B}{R}{G}  {T}  Sacrifice This Card: Draw three cards.,0.05,snc
31,Utopia Sprawl,{G},1.0,Enchant Forest As This Card enters the battlefield  choose a color. Whenever enchanted Forest is tapped for mana  its controller adds an additional one mana of the chosen color.,5.29,afc
32,Game Trail,_,0.0,As This Card enters the battlefield  you may reveal a Mountain or Forest card from your hand. If you don't  This Card enters the battlefield tapped. {T}: Add {R} or {G}.,0.20,clb
33,Lantern of Revealing,{3},3.0,{T}: Add one mana of any color. {4}  {T}: Look at the top card of your library. If it's a land card  you may put it onto the battlefield tapped. If you don't put the card onto the battlefield  you may put it on the bottom of your library.,0.07,clb
34,Harvest Pyre,{1}{R},2.0,As an additional cost to cast this spell  exile X cards from your graveyard. This Card deals X damage to target creature.,0.09,isd
35,Bond of Discipline,{4}{W},5.0,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.,0.11,war
36,Selesnya Sanctuary,_,0.0,This Card enters the battlefield tapped. When This Card enters the battlefield  return a land you control to its owner's hand. {T}: Add {G}{W}.,0.24,2x2
37,Collective Voyage,{G},1.0,Join forces — Starting with you  each player may pay any amount of mana. Each player searches their library for up to X basic land cards  where X is the total amount of mana paid this way  puts them onto the battlefield tapped  then shuffles.,5.89,c16
38,Waste Not,{1}{B},2.0,Whenever an opponent discards a creature card  create a 2/2 black Zombie creature token. Whenever an opponent discards a land card  add {B}{B}. Whenever an opponent discards a noncreature  nonland card  draw a card.,14.01,c16
39,Spell Contortion,{2}{U},3.0,Multikicker {1}{U} (You may pay an additional {1}{U} any number of times as you cast this spell.) Counter target spell unless its controller pays {2}. Draw a card for each time This Card was kicked.,0.09,wwk
